
(50, 2, '115', '250.0', 2365, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '4', '1', '250.0')
(51, 2, '115', '250.0', 2245, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '4', '1', '250.0')
(52, 2, '115', '250.0', 2250, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '4', '1', '250.0')
(53, 2, '115', '250.0', 2315, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '4', '1', '250.0')
(54, 2, '115', '250.0', 2320, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '4', '1', '250.0')
(55, 2, '115', '250.0', 2360, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '4', '1', '250.0')
(56, 2, '115', '250.0', 2365, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '4', '1', '250.0')
(57, 2, '115', '250.0', 2305, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '4', '1', '250.0')
(58, 2, '115', '90.0', 815, 2, 1, '02  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250 B.E.')
(59, 2, '115', '150.0', 1375, 2, 1, '02  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250 B.E.')
(60, 2, '115', '90.0', 770, 2, 1, '02  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250 B.E.')
(61, 2, '115', '150.0', 1300, 2, 1, '02  DE   ENERO   2021', '1075', 'Almacen', '4', '1', '250 B.E.')

(62, 2, '115', '250.0', 2290, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
(63, 2, '115', '227.0', 2210, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
(64, 2, '115', '227.0', 2145, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
(65, 2, '115', '227.0', 2115, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
(66, 2, '115', '227.0', 2155, 2, 0, '02  DE   ENERO   2021', '1145', 'Almacen', '3', '2', '250.0')
