(65,1,530,90,950,2,0,2021-01-02',1013,'Almacen','2','3','')
(66,1,350,160,1750,2,1,2021-01-02',1135,'Almacen','2','3','')
(67,1,350,160,1720,3,0,2021-01-02',1135,'Almacen','2','3','')
(68,1,350,160,1780,2,0,2021-01-02',1135,'Almacen','2','3','')
(69,1,350,160,1800,2,0,2021-01-03',1135,'Almacen','4','1','')
(70,1,350,160,1730,2,0,2021-01-03',1135,'Almacen','4','1','')
(71,1,350,160,1560,2,0,2021-01-03',1135,'Almacen','4','1','')
(72,1,350,160,1780,2,1,2021-01-03',1135,'Almacen','4','1','')
(73,1,350,160,1780,2,0,2021-01-03',1135,'Almacen','4','1','')
(74,1,350,160,1780,2,0,2021-01-03',1135,'Almacen','4','1','')
(75,1,350,160,1775,2,0,2021-01-03',1135,'Almacen','4','1','')
(76,1,350,160,1790,2,0,2021-01-03',1135,'Almacen','4','1','')
(77,1,350,160,1790,2,0,2021-01-03',1135,'Almacen','3','2','')
(78,1,350,160,1780,2,0,2021-01-03',1135,'Almacen','3','2','')
(79,1,350,160,1785,2,0,2021-01-03',1135,'Almacen','3','2','')
(80,1,350,160,1805,2,0,2021-01-03',1135,'Almacen','3','2','')
(81,1,350,160,1780,2,1,2021-01-03',1135,'Almacen','3','2','')
(82,1,350,160,1800,2,0,2021-01-03',1135,'Almacen','3','2','')
(83,1,350,114,1310,2,0,2021-01-03',1112,'Almacen','3','2','')
(84,1,350,46,505,2,0,2021-01-03',1112,'Almacen','3','2','')
(85,1,350,114,1290,2,0,2021-01-03',1112,'Almacen','3','2','')
(86,1,350,46,500,2,0,2021-01-03',1112,'Almacen','3','2','')
(87,1,350,114,1280,2,0,2021-01-03',1112,'Almacen','3','2','')
(88,1,350,46,505,2,0,2021-01-03',1112,'Almacen','3','2','')
(89,1,350,114,1265,2,0,2021-01-03',1112,'Almacen','3','2','')
(90,1,350,46,495,2,0,2021-01-03',1112,'Almacen','3','2','')
(91,1,350,114,1265,2,0,2021-01-03',1112,'Almacen','2','3','')
(92,1,350,46,500,2,0,2021-01-03',1112,'Almacen','2','3','')
(93,1,350,114,1270,2,0,2021-01-03',1112,'Almacen','2','3','')
(94,1,350,46,495,2,0,2021-01-03',1112,'Almacen','2','3','')
(95,1,350,114,1205,2,0,2021-01-03',1112,'Almacen','2','3','')
(96,1,350,46,495,2,0,2021-01-03',1112,'Almacen','2','3','')
(97,1,350,114,1265,2,0,2021-01-03',1112,'Almacen','2','3','')
(98,1,350,46,505,2,0,2021-01-03',1112,'Almacen','2','3','')
(99,1,350,114,1240,2,0,2021-01-03',1112,'Almacen','2','3','')
(100,1,350,46,495,2,0,2021-01-03',1112,'Almacen','2','3','')
(101,1,300,114,1260,2,1,2021-01-03',1112,'Almacen','2','3','')
(102,1,300,46,490,2,1,2021-01-03',1112,'Almacen','2','3','')
(103,1,300,114,1225,2,1,2021-01-03',1112,'Almacen','2','3','')
(104,1,300,46,485,2,1,2021-01-03',1112,'Almacen','2','3','')
